Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Var,Value
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_per_ej,3.965387508
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,coalcons_ej,0.00293076
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcfd,0.100155164
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcm,1.03516875
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.037266076
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.0012996
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.361
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.35739
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,37.71432877
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.076701351
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,37.71432877
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,1.775
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,946.4
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,969.3315068
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,44.43579345
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_ngl_kbd,22.93150685
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,pop,13.47596
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,refcap_kbd,54.22191781
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,ren_power_ej,0.0012996
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,renewables_ej,0.0012996
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,solar_ej,0
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,tes_ej,0.118197783
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,tes_gj_pc,8.771010229
Algeria,1969,DZA,12,Africa,Northern Africa,1,0,0,0,wind_ej,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_ej,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_mtco2,8.264424756
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_pc,0.009600604
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_per_ej,3.570485998
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,coalcons_ej,0.003475044
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcfd,0.094148648
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcm,0.9730875
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.035031151
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcfd,0.235883804
